title,type,country,dataProvider,provider,year,rights,language,dcCreator,guid,europeanaCompleteness,timestamp_created
Vincent van Gogh. Dokter Paul Gachet,IMAGE,Belgium,Catholic University of Leuven,PHOTOCONSORTIUM,1890,http://creativecommons.org/publicdomain/mark/1.0/,mul,Vincent van Gogh,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9990752200101488?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2019-10-07T11:00:43.516Z
Vincent van Gogh. Père Tanguy,IMAGE,Belgium,Catholic University of Leuven,PHOTOCONSORTIUM,1887,http://creativecommons.org/publicdomain/mark/1.0/,mul,Vincent van Gogh,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9990752210101488?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2019-10-07T11:00:43.516Z
Vincent van Gogh. Weg achter de pastorietuin te Nuenen,IMAGE,Belgium,Catholic University of Leuven,PHOTOCONSORTIUM,,http://creativecommons.org/publicdomain/mark/1.0/,mul,Vincent van Gogh,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9990752610101488?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2019-10-07T11:00:43.516Z
Vincent van Gogh. Portret van Armand Roulin,IMAGE,Belgium,Catholic University of Leuven,PHOTOCONSORTIUM,1888,http://creativecommons.org/publicdomain/mark/1.0/,mul,Vincent van Gogh,https://www.europeana.eu/item/2024903/photography_ProvidedCHO_KU_Leuven_9990940300101488?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2019-10-07T11:00:43.516Z
Stillleben mit fünf Flaschen,IMAGE,Austria,Austrian Gallery Belvedere,Kulturpool,1884,http://creativecommons.org/licenses/by-sa/4.0/,de,Vincent van Gogh,https://www.europeana.eu/item/1320/https___id_kulturpool_at_8d8cf180_1ee0_484b_8dd7_040785a6418c_cho?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2020-06-19T17:40:58.036Z
Die Ebene von Auvers,IMAGE,Austria,Austrian Gallery Belvedere,Kulturpool,1890,http://creativecommons.org/licenses/by-sa/4.0/,de,Vincent van Gogh,https://www.europeana.eu/item/1320/https___id_kulturpool_at_d8ee147a_a3c3_438d_8641_92de48813b03_cho?utm_source=api&utm_medium=api&utm_campaign=apidemo,10,2020-06-19T17:40:58.036Z
"Albuminscriptie / van J.A. van Gogh, voor John Symons",TEXT,Netherlands,"KB, National Library of the Netherlands",The European Library,,http://creativecommons.org/publicdomain/mark/1.0/,nl,"Gogh, J.A. van",https://www.europeana.eu/item/92065/BibliographicResource_1000056096266?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2014-06-04T08:27:57.536Z
"Albuminscriptie / van J.M. van Gogh, voor Maria Elisabeth Varkevisser (1824-1898)",TEXT,Netherlands,"KB, National Library of the Netherlands",The European Library,,http://creativecommons.org/publicdomain/mark/1.0/,nl,"Gogh, J.M. van",https://www.europeana.eu/item/92065/BibliographicResource_1000056090215?utm_source=api&utm_medium=api&utm_campaign=apidemo,7,2014-06-04T08:22:15.475Z
"Albuminscriptie / van G.M. van Gogh, voor Maria Elisabeth Varkevisser (1824-1898)",TEXT,Netherlands,"KB, National Library of the Netherlands",The European Library,,http://creativecommons.org/publicdomain/mark/1.0/,nl,"Gogh, G.M. van",https://www.europeana.eu/item/92065/BibliographicResource_1000056090166?utm_source=api&utm_medium=api&utm_campaign=apidemo,7,2014-06-04T08:22:14.538Z
"Albuminscriptie / van H.H. van Gogh, voor Maria Elisabeth Varkevisser (1824-1898)",TEXT,Netherlands,"KB, National Library of the Netherlands",The European Library,,http://creativecommons.org/publicdomain/mark/1.0/,nl,"Gogh, H.H. van",https://www.europeana.eu/item/92065/BibliographicResource_1000056090304?utm_source=api&utm_medium=api&utm_campaign=apidemo,7,2014-06-04T08:22:12.348Z
Tavla,IMAGE,Sweden,Swedish Air Force Museum,Swedish Open Cultural Heritage,,http://creativecommons.org/licenses/by/4.0/,sv,"van Gogh, Vincent",https://www.europeana.eu/item/916113/S_FV_object_FVM152624?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2024-09-25T13:20:46.379Z
Lettres de Van Gogh à Van Rappard. Traduit par L. Roelandt...,TEXT,France,National Library of France,National Library of France,1950,http://rightsstatements.org/vocab/NoC-OKLR/1.0/,fr,"Van Gogh, Vincent (1853-1890). Auteur du texte",https://www.europeana.eu/item/794/ark__12148_bpt6k1422337c?utm_source=api&utm_medium=api&utm_campaign=apidemo,7,2021-07-09T15:28:10.286Z
"Bulletin de livres en vente chez le Libraire C. M. van Gogh, 1867, Aug.",TEXT,Germany,Bavarian State Library,German Digital Library,1867,http://rightsstatements.org/vocab/NoC-NC/1.0/,de,Libraire C. M. van Gogh (Amsterdam),https://www.europeana.eu/item/362/item_F5TQ7KE3RU3MC7SVTD5SEHQNZIKGVDNP?utm_source=api&utm_medium=api&utm_campaign=apidemo,8,2020-09-28T20:43:12.455Z
"van Gogh, Poträt des Doktor Felix Rey",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_5BBVQO7MSVFAJ3ZCKWPSZ6Q7TO3JABSS?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Roter Weinberg",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_5K6X26EOIGUNUUACT7IFASIHX2RMS776?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Häuser in Auvers",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_AXPRZG57VBVFYIGBG736SXMBIRVIOVCP?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Tête de femme",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_F6K57A3NLN72QRNWAGUEKFEXGKUU2H5T?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Selbstpoträt mit verbundenem Ohr",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_HXFCOKRL4WNYMKSYHG6JOQUFIVPNOTHU?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Der Rundgang der Gefangenen",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_JCBF5YUGTGMAFA37JCQQNYTKWEY3AS3G?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Das Mohnfeld",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_RORFFR3Q5LVX3XRE4JNRTP4GLZIRNNQS?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Das Meer bei Saintes-Maries",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_T3CXP3H6OTYD4U37T4JTD6G2XDVQBOPI?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Landschaft bei Auvers nach dem Regen",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_TYY22NW2K2HTERRK7ZESAZPD56CJ4SQM?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
"van Gogh, Quittenstillleben",IMAGE,Germany,Media library of Art and Visual History of Humboldt University of Berlin,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"van Gogh, Vincent (1853-1890) (Künstler/Hersteller)",https://www.europeana.eu/item/626/item_UWVBCTAOD2M4VR4VBRM7ZFLVKFYJNKMJ?utm_source=api&utm_medium=api&utm_campaign=apidemo,0,2021-12-20T15:24:25.687Z
Marine aux Saintes-Maries-de-la-Mer,IMAGE,Belgium,Royal Institute for Cultural Heritage,MUSEU,,http://creativecommons.org/licenses/by-nc-sa/3.0/,fr,"Van Gogh, Vincent",https://www.europeana.eu/item/2048001/AP_10351222?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2022-10-11T07:58:02.251Z
Sorrow,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_2BG5ZFKJX4TMUXVIKJN263J72XL44K4M?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T09:34:54.697Z
Garbenbinder,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_2UQEOHX24OCBEL5ZQRLBB3ERXUU2NMLE?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:43:19.556Z
Olive trees,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_2XU3Z44KCVJJZC5P7IC5Y2U6F7JVC6DU?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T12:23:34.823Z
Olive grove,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_2ZUYGKUUIRUMW4UOOKQZ3GQBSZTZHZQC?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:53:59.830Z
Das Schlafzimmer des Künstlers in Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_3KSBVX2VFD3HRARN3RVZFZ53ZUMG5ANJ?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T13:42:23.623Z
Der Schnitter mit Sichel,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_3POCUZMK3IIAHPH7YTMVNWMW63HFKCKF?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T14:09:32.132Z
Le Moulin de la Galette,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_3QBTE5HBWSZQT5EEK2GS7CGC4LYHCKYS?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T14:45:42.469Z
Gebirgslandschaft,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_3WBNFYWC26G3TY4WKWFQDTZ6KIGFBPHL?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:47:33.386Z
Brandung & Barques voguant vers la côte,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_42ZLSN72GFA4GPGLVL7LOJUL7FDMC2YE?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:31:42.715Z
Kniender Mann mit Sichel,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_4DYJ5XBCYMBBTYNUZ3GHTVWJJEPOTQHS?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T13:26:44.853Z
The yellow house of the artist in Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_4IVHN7JDP3QKQK672ECM246M4B5GOVTB?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T09:16:45.715Z
Bildnis des Doktor Gachet,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_4NH56ONXEAZAFBGJR4W2BMT5X6JJKYE6?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T13:12:45.614Z
Wheat field,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_4T7HLWWRTECWZDOZMCPMVVBL74ONATMM?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T12:58:37.029Z
The Bridge of Anglois near Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_4TIE43E6262QM2DRORCJD3V6HOYMXPST?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T13:07:59.834Z
Blumenstrauß in einer Vase,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_4XGOOQDWRSJUSGKQ5MH4CDN6G7BAT7Z2?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T13:27:05.105Z
Street in Eindhoven in the rain,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_5E5QBZ2JPH2UM6CFX3LBVAHFV3YPUB27?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T13:34:25.342Z
Meadow near Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_5HOWBD7DPQUBXL5HNIWLBQFLIRKVKD2P?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T11:50:54.896Z
The yellow house of the artist in Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_5PKSDT2WQSWG42IUZ7U2NAE3IPA3GV3U?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T11:12:17.392Z
Weber beim Ordnen von Fäden,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_5QT332O4OVD35HLZ2YF55SPK5DUJOYAD?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T11:16:59.641Z
Farm in Provence,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_5QXJWSOH2XBSU3U52EXOAUGH63W57SKQ?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:48:11.852Z
Kartoffelfeld in den Dünen,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_5RRK7IP7VIOT6DJ6QTIIWZ7EHBAIAT73?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T08:35:02.881Z
Grabender Bauer,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_6GCMCIRV7LX6UGCDTA3OMFT7VUFTLJCD?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T09:18:37.704Z
Weaver,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_6U5NJP7SC5YKZCHF6K3H5TNXZFAYLGSN?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:55:50.100Z
Öffentlicher Park in Paris mit Spaziergängern,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_ADK5KQHPI2KVKUVHIU7WSEJRGAD65QZ2?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T09:44:12.215Z
Der Garten der Heilanstalt in Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_AJVYY5HOPJ6RRHGWQ7RXJ2LW2NUAVR3R?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T11:01:46.680Z
Evening. Returning from work (after Millet)/returning home from the field,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_AMKNYUMCALUIMNJ3RDBAVGL7PF5HCOMV?utm_source=api&utm_medium=api&utm_campaign=apidemo,7,2019-04-16T13:48:19.378Z
Les Alyscamps in autumn,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_ARONRL6XSRYKHL5WSXZ7NOYUIPFQGA2F?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T13:13:25.440Z
Die Langlois-Brücke in Arles,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_ATZAV6JFOSDT2IQATXWMUJERI46U2DYC?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T09:22:21.986Z
The Grote Markt in Antwerp,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_AU4A2DUVEK4DKZGITZVHPWYWPHWP7RRJ?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T12:37:56.186Z
Weber am Webstuhl,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_AVQFIXWSCR5KC7SUYRURG62HADUBJ3CX?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T11:23:22.991Z
Orchard with flourishing apricot trees,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_AVRN7I6V44G7LHSF2XOOT7VU25DQTS35?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T10:22:18.037Z
Rosen und Sonnenblumen,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_BH2C5DKXBQ6DOU52C6N6FTO34EDXUPRS?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T11:05:25.991Z
Flourishing orchard,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_BQK4CBGTX64MMVOTPY5SZF4IMTET3ZPY?utm_source=api&utm_medium=api&utm_campaign=apidemo,5,2019-04-16T10:22:29.393Z
Vase mit Astern und anderen Blumen,IMAGE,Germany,German Documentation Center for Art History - Marburg Picture Index,German Digital Library,,http://rightsstatements.org/vocab/InC/1.0/,de,"Gogh, Vincent van",https://www.europeana.eu/item/199/item_C5SHAUWOKBNAU4S5IZEIIBZJ3NS5GITN?utm_source=api&utm_medium=api&utm_campaign=apidemo,6,2019-04-16T13:54:19.880Z
